onset	duration	sample	value
3.4970703125	n/a	3582	3111
3.4970703125	n/a	3582	1211
3.4970703125	n/a	3582	1351
3.4970703125	n/a	3582	3200
3.4970703125	n/a	3582	3310
3.4970703125	n/a	3582	4230
3.513671875	n/a	3599	2621
13.3779296875	n/a	13700	4210
14.263671875	n/a	14607	2622
17.3583984375	n/a	17776	1121
18.19140625	n/a	18629	4311
18.248046875	n/a	18687	1122
18.279296875	n/a	18719	4230
20.0234375	n/a	20505	4210
22.140625	n/a	22673	4312
27.7734375	n/a	28441	1111
28.4619140625	n/a	29146	4220
28.4619140625	n/a	29146	4311
28.5078125	n/a	29193	1112
30.87890625	n/a	31621	4210
31.6416015625	n/a	32402	4312
38.1044921875	n/a	39020	1111
39.037109375	n/a	39975	4311
39.1044921875	n/a	40044	4220
39.1044921875	n/a	40044	1112
41.421875	n/a	42417	4210
42.8271484375	n/a	43856	4312
43.16796875	n/a	44205	4230
45.63671875	n/a	46733	4210
48.7646484375	n/a	49936	1111
48.96484375	n/a	50141	4311
48.96484375	n/a	50141	1112
49.798828125	n/a	50995	4312
54.92578125	n/a	56245	3200
55.5126953125	n/a	56846	2241
55.96875	n/a	57313	4220
56.861328125	n/a	58227	4210
60.517578125	n/a	61971	4220
62.283203125	n/a	63779	4210
68.466796875	n/a	70111	1111
68.8662109375	n/a	70520	4220
69.3798828125	n/a	71046	4311
69.435546875	n/a	71103	1112
71.59375	n/a	73313	4210
73.982421875	n/a	75759	4312
79.3203125	n/a	81225	1111
80.1748046875	n/a	82100	4311
80.197265625	n/a	82123	4220
80.23046875	n/a	82157	1112
82.919921875	n/a	84911	4210
82.9296875	n/a	84921	4312
84.01171875	n/a	86029	2242
90.1923828125	n/a	92358	1121
90.9697265625	n/a	93154	4230
91.19140625	n/a	93381	4311
91.2587890625	n/a	93450	1122
93.599609375	n/a	95847	4210
94.2021484375	n/a	96464	4220
96.2080078125	n/a	98518	3200
101.2998046875	n/a	103732	1121
